분류,단원,단어,뜻
표제어,Day 30,compliment,칭찬; 칭찬하다
파생어,Day 30,complimentary,칭찬하는; 무료의
표제어,Day 30,complement,"보충물, 보완하는 것; 보완[보충]하다"
파생어,Day 30,complementary,서로 보완하는
표제어,Day 30,personal,"개인의, 사적인"
파생어,Day 30,personality,성격; 개성
파생어,Day 30,personally,"개인적으로, 직접"
표제어,Day 30,personnel,"(총)인원, (전) 직원; 인사의, 직원의"
표제어,Day 30,prey,먹이; 희생(물)
표제어,Day 30,pray,"기도하다, 빌다, 간청하다"
표제어,Day 30,region,지역; 부분; 범위
파생어,Day 30,regional,"지역적인, 지방의"
표제어,Day 30,religion,"종교, 신앙"
파생어,Day 30,religious,종교(상)의; 독실한
표제어,Day 30,mess,"엉망, 어질러 놓은 것"
파생어,Day 30,messy,어질러진
파생어,Day 30,in a mess,어질러져서; 곤경에 빠져
표제어,Day 30,mass,"큰 덩어리; 다량, 다수; 대중"
파생어,Day 30,massive,"크고 무거운, 대량의"
표제어,Day 30,meditation,명상; 심사숙고
파생어,Day 30,meditate,숙고하다; 명상하다
표제어,Day 30,medication,약물; 약물 치료
파생어,Day 30,medicate,"약으로 치료하다, 투약하다"
표제어,Day 30,simulate,"흉내 내다, ~인 체하다; ~의 모의실험을 하다"
파생어,Day 30,simulation,"시뮬레이션, 모의실험"
파생어,Day 30,simulated,"모조의, 가장된"
표제어,Day 30,stimulate,"자극하다; 격려하다, 고무시키다"
파생어,Day 30,stimulation,"자극; 고무, 격려"
파생어,Day 30,stimulus,자극(하는 것)
표제어,Day 30,absorb,흡수하다; (정보·지식 등을) 받아들이다; 열중하게 하다
파생어,Day 30,absorption,"흡수, 몰두"
표제어,Day 30,absurd,"어리석은, 터무니없는"
파생어,Day 30,absurdity,"부조리, 모순"
표제어,Day 31,wander,"어슬렁거리다, 헤매다"
표제어,Day 31,wonder,궁금하다; 놀라움
파생어,Day 31,wonderful,"굉장히 멋진, 훌륭한; 놀라운"
표제어,Day 31,expand,"넓히다, 확장[확대]하다"
파생어,Day 31,expansion,"확장, 팽창"
파생어,Day 31,expansive,팽창력 있는
표제어,Day 31,expend,"(시간·노력·돈 등을) 들이다, 소비하다"
파생어,Day 31,expense,"지출, 비용"
파생어,Day 31,expensive,비싼
표제어,Day 31,imitate,"모방하다, 흉내 내다"
파생어,Day 31,imitation,"모조품; 모방, 흉내"
파생어,Day 31,imitative,흉내 내는
표제어,Day 31,initiate,"시작하다, 창시하다"
표제어,Day 31,vacation,휴가
표제어,Day 31,vocation,"천직, 직업; 사명감"
파생어,Day 31,vocational,직업상의
표제어,Day 31,bald,"벗어진, 대머리의"
파생어,Day 31,baldness,대머리임; 노골적임
파생어,Day 31,baldly,노골적으로
표제어,Day 31,bold,"대담한, 용감한"
표제어,Day 31,through,"~을 통하여, ~을 지나서"
표제어,Day 31,thorough,"철저한, 빈틈없는"
파생어,Day 31,thoroughly,"완전히, 철저히"
표제어,Day 31,marvel,놀라다; 놀라운 사람[물건]
파생어,Day 31,marvel(l)ous,"놀라운, 훌륭한"
표제어,Day 31,marble,대리석; 구슬
표제어,Day 31,assume,가정하다; 떠맡다
파생어,Day 31,assumption,"가정, 추정"
표제어,Day 31,consume,"소비하다, 다 써버리다"
파생어,Day 31,consumption,소비(량)
파생어,Day 31,consumer,소비자
표제어,Day 31,award,"상, 상품; 수여하다"
표제어,Day 31,reward,보상; 보답하다
표제어,Day 31,eliminate,"제거하다, 삭제하다"
파생어,Day 31,elimination,"제거, 삭제"
표제어,Day 31,illuminate,"조명하다, 밝게 하다"
파생어,Day 31,illuminating,이해를 돕는
표제어,Day 31,statue,"상, 조각상"
표제어,Day 31,status,"지위, 신분"
표제어,Day 31,hospitality,"환대, 친절히 접대함"
파생어,Day 31,hospitable,환대하는
표제어,Day 31,hostility,"적의, 적개심"
파생어,Day 31,hostile,"적대적인; 적의, 적군의"
표제어,Day 31,affect,~에 영향을 미치다
표제어,Day 31,effect,"효력, 효과, 결과; (어떤 결과를) 초래하다"
파생어,Day 31,effective,효과적인; 유효한
파생어,Day 31,side effect,부작용
파생어,Day 31,cause and effect,원인과 결과
표제어,Day 31,conserve,"보존하다, 보호하다"
파생어,Day 31,conservation,"보존, 보호"
파생어,Day 31,conservative,보수적인
표제어,Day 31,observe,"관찰하다, 지켜보다; (법·관습 등을) 지키다, 준수하다"
파생어,Day 31,observer,"관찰자, 감시자"
파생어,Day 31,observant,관찰력 있는
표제어,Day 31,expire,"만기가 되다, 만료되다"
파생어,Day 31,expiration,"만료, 만기"
표제어,Day 31,inspire,"격려하다; (감정 등을) 불어넣다, 영감을 주다"
파생어,Day 31,inspiration,영감; 자극
표제어,Day 32,inherent,"타고난, 고유의"
파생어,Day 32,inherence,"고유, 타고남"
표제어,Day 32,inheritance,"상속 재산, 유산; 계승"
표제어,Day 32,detect,"발견하다, 감지하다, 알아내다"
파생어,Day 32,detectable,탐지할 수 있는
파생어,Day 32,detective,"탐정, 형사"
파생어,Day 32,detection,"발견, 탐지"
파생어,Day 32,detector,탐지기
표제어,Day 32,protect,"지키다, 보호하다"
파생어,Day 32,protection,"보호, 방어"
파생어,Day 32,protective,보호하는
표제어,Day 32,hesitancy,"머뭇거림, 망설임"
파생어,Day 32,hesitate,"주저하다, 망설이다"
파생어,Day 32,hesitant,"주저하는, 망설이는"
표제어,Day 32,consistency,일관성; 견고함
파생어,Day 32,consistent,"일관된, 한결같은; 일치하는"
표제어,Day 32,invention,발명; 발명품
파생어,Day 32,invent,발명하다
파생어,Day 32,inventor,발명가
표제어,Day 32,convention,"집회, 총회; 관습"
파생어,Day 32,conventional,"전통적인, 관습적인"
표제어,Day 32,compact,"아담한; 빽빽한; 계약, 협정"
표제어,Day 32,impact,충격; 영향; 충격을 주다
파생어,Day 32,have an impact on,~에 영향을 주다
표제어,Day 32,continual,"빈번한, 자주 일어나는"
파생어,Day 32,continue,"계속되다, 이어지다"
파생어,Day 32,continually,"계속적으로, 빈번히"
표제어,Day 32,continuous,"끊임없는, 연속적인"
파생어,Day 32,continuously,"계속하여, 끊임없이"
표제어,Day 32,stationary,"움직이지 않는, 정지한"
표제어,Day 32,stationery,"문구, 문방구"
표제어,Day 32,capability,"능력, 재능"
파생어,Day 32,capable,~을 할 수 있는; 유능한
표제어,Day 32,capacity,수용력; 용량; 능력
표제어,Day 32,career,직업; 경력
표제어,Day 32,carrier,운반인; 운반기; 보균자; 운수 회사
표제어,Day 32,momentary,순간의
파생어,Day 32,momentarily,"잠시; 곧, 즉시"
표제어,Day 32,momentous,"중대한, 중요한"
표제어,Day 32,respectful,"공손한, 존경[존중]하는"
표제어,Day 32,respective,"각각의, 개개의"
표제어,Day 32,reserve,"따로 떼어두다, 준비해두다; 예약하다; 비축(물)"
파생어,Day 32,reservation,예약
표제어,Day 32,deserve,"~할 가치가 있다, ~을 받을 만하다"
표제어,Day 32,jealous,질투가 많은; 투기하는
파생어,Day 32,jealousy,질투
파생어,Day 32,jealously,질투하여; 경계하여
표제어,Day 32,zealous,"열심인, 열광적인"
표제어,Day 32,competition,"경쟁; 대회, 시합"
파생어,Day 32,compete,경쟁하다
표제어,Day 32,competence,"능력, 역량; 권한"
파생어,Day 32,competent,유능한
표제어,Day 32,observance,준수; 의식
표제어,Day 32,observation,"관찰, 감시"
파생어,Day 32,observatory,"관측소, 천문대"
파생어,Day 32,observer,"관찰자, 감시자"
표제어,Day 33,disability,"장애, 불리한 조건; 무력"
파생어,Day 33,ability,"할 수 있음, 능력"
표제어,Day 33,inability,"~할 수 없음, 무능력"
표제어,Day 33,tempt,"유혹하다, 부추기다"
파생어,Day 33,temptation,유혹
파생어,Day 33,tempting,"유혹하는, 매력적인"
표제어,Day 33,contempt,"경멸, 모욕; 수치"
파생어,Day 33,contemptible,경멸할 만한
파생어,Day 33,contemptuous,"모욕적인, 무시하는"
표제어,Day 33,carve,베다; (어떤 모양으로) 새기다
표제어,Day 33,curve,"곡선; (도로 등의) 굽이, 커브; 구부러지다"
표제어,Day 33,memorable,기억할 만한
표제어,Day 33,memorial,기념물; 기념의
표제어,Day 33,professor,교수
표제어,Day 33,profession,"직업, 전문직"
파생어,Day 33,professional,직업의; 전문적인; 전문가; 프로 (선수)
표제어,Day 33,physicist,물리학자
파생어,Day 33,physics,물리학
표제어,Day 33,physician,"내과 의사, 의사"
표제어,Day 33,occupation,"직업, 업무"
파생어,Day 33,occupy,차지하다; 거주하다
파생어,Day 33,occupational,직업의
표제어,Day 33,occupant,"점유자, 거주자"
표제어,Day 33,conscious,"의식하는, 자각하는; 의식이 있는; 의도적인"
표제어,Day 33,conscience,"양심, 도덕심"
파생어,Day 33,conscientious,"양심적인, 성실한"
표제어,Day 33,intelligent,"지능이 높은, 총명한"
파생어,Day 33,intelligence,"지능; 정보부, 첩보 기관"
표제어,Day 33,intellectual,"지적인, 지성의"
표제어,Day 33,emit,"방출하다, ~을 내뿜다"
파생어,Day 33,emission,방출
표제어,Day 33,omit,"~을 생략하다, 빠뜨리다"
파생어,Day 33,omission,생략(된 것)
표제어,Day 33,attribute,~의 탓[덕분]으로 하다
파생어,Day 33,attribution,"귀속, 귀인; 속성"
표제어,Day 33,contribute,기여하다; 기부하다
파생어,Day 33,contribution,기여; 기부(금)
표제어,Day 33,eminent,"저명한, (신분이) 높은"
표제어,Day 33,imminent,"임박한, 촉박한"
표제어,Day 33,prominent,"두드러진, 현저한"
표제어,Day 33,literal,글자 그대로의
파생어,Day 33,literally,"글자 그대로, 그야말로"
표제어,Day 33,literate,읽고 쓸 수 있는
표제어,Day 33,literary,"문학의, 문학적인"
파생어,Day 33,literature,문학 (작품)
표제어,Day 33,numeral,숫자
파생어,Day 33,numerical,계산 능력이 있는
파생어,Day 33,numerate,"수의, 숫자상의"
표제어,Day 33,numerous,"다수의, 셀 수 없이 많은"
표제어,Day 34,humble,"겸손한; (신분이) 낮은, 비천한; 변변찮은"
표제어,Day 34,major,"중요한, 주요한; 대다수의, 큰 쪽의; 전공; ((~in)) 전공하다"
표제어,Day 34,submit,"제출하다; 복종[굴복]하다; 제안하다, 진술하다"
파생어,Day 34,submission,"제출; 복종, 굴복"
파생어,Day 34,submissive,"복종하는, 순종하는"
표제어,Day 34,capital,수도; 자본; 대문자; 대문자의; 자본의; 사형의
표제어,Day 34,suspend,일시 중지하다; 정학[정직]시키다; 매달다; 보류하다
파생어,Day 34,suspension,"일시 중지; 정직, 정학"
표제어,Day 34,comprehend,"이해하다, 파악하다; 포함하다, 내포하다"
파생어,Day 34,comprehensible,이해할 수 있는
파생어,Day 34,comprehensive,"포괄적인, 광범위한"
파생어,Day 34,comprehension,이해(력)
표제어,Day 34,moderate,"보통의, 적당한; 중도의, 온건한; 완화하다, 누그러뜨리다"
파생어,Day 34,moderation,"절제, 중용"
파생어,Day 34,moderately,"알맞게, 적당히"
표제어,Day 34,modest,"겸손한; (가격·크기 등이) 적당한, 대단하지 않은; 얌전한, 수수한"
파생어,Day 34,modesty,겸손; 정숙함
표제어,Day 34,issue,"논점, 쟁점; 발행(물); 발표[공표]하다; 발행하다"
표제어,Day 34,complex,"복잡한; 복합의; 건물 단지; 복합체; 콤플렉스, 강박관념"
파생어,Day 34,complexity,"복잡성, 복잡함"
표제어,Day 34,deposit,"계약금, 보증금; 예금; 퇴적물, 침전물; 두다; 예금하다; 퇴적[침전]시키다"
표제어,Day 34,suit,"적합하다, 알맞다; 어울리다; 정장; 소송"
표제어,Day 34,property,"재산, 소유물; 부동산; 특성"
표제어,Day 34,attend,"참석[출석]하다; 돌보다; ~에 수반하다; 다루다, 처리하다"
파생어,Day 34,attendant,"시중드는 사람, 수행원"
파생어,Day 34,attentive,"주의 깊은, 세심한"
파생어,Day 34,attendance,출석(수)
파생어,Day 34,attention,관심; 주목; 돌봄
표제어,Day 34,tune,"곡, 곡조; (악기를) 조율하다; (기계를) 조정하다; (채널을) 맞추다"
파생어,Day 34,in[out of] tune,음이 맞는[맞지 않는]
표제어,Day 34,command,명령하다; 지휘하다; (경치를) 내려다보다; 명령; 지휘
파생어,Day 34,commander,"지휘자, 사령관"
표제어,Day 34,contract,"계약(서); 계약하다; 수축하다[시키다], 줄어들다; (병에) 걸리다"
파생어,Day 34,contraction,"수축, 축소"
표제어,Day 34,relieve,(고통 등을) 경감시키다; (문제의 심각성을) 완화하다; 교대하다
파생어,Day 34,relief,"안도, 안심; (고통 등의) 완화; 구호물자"
파생어,Day 34,relieved,"안심한, 안도하는"
표제어,Day 35,content,((~s)) 내용(물); 함유량; (연설·문서 등의) 내용; 만족한; 동만족시키다
파생어,Day 35,contentment,만족
표제어,Day 35,bind,"묶다, 감다; 결속시키다; 의무를 지우다"
표제어,Day 35,grave,무덤; 심각한; 중대한
파생어,Day 35,gravity,중력; 심각성; 중대함
표제어,Day 35,facility,"((~s)) 설비, 시설; 기능; 건물, 장소; 재능, 능력"
파생어,Day 35,facilitate,용이하게 하다
표제어,Day 35,reflect,(거울 등에) 비치다; (빛 등을) 반사하다; 반영하다; 심사숙고하다
파생어,Day 35,reflection,반사; 반영; 심사숙고
표제어,Day 35,identify,(신원 등을) 확인하다; ((~ with)) (~와) 동일시하다
파생어,Day 35,identity,"신원, 정체; 정체성; 동일함, 일치"
파생어,Day 35,identification,신분 증명(서)
파생어,Day 35,identical,동일한
표제어,Day 35,decline,"줄어들다, 감소하다; 거절하다; 감소, 하락"
표제어,Day 35,cast,(시선·미소 등을) 던지다; 배역을 정하다; 주조하다; 출연자; 깁스
표제어,Day 35,correspond,일치[부합]하다; 해당[상응]하다; 편지를 주고받다
파생어,Day 35,correspondence,"서신 왕래; 대응, 해당"
파생어,Day 35,correspondent,"통신원, 특파원"
표제어,Day 35,transfer,"이동하다, 전근[전학]하다; 환승하다; 전송하다; 이동, 이적, 전학; 환승"
표제어,Day 35,reason,"이유; 근거; 이성; 판단하다, 추론하다"
파생어,Day 35,reasonable,합리적인; 합당한
표제어,Day 35,abrupt,"돌연한, 갑작스러운; 퉁명스러운"
파생어,Day 35,abruptly,"갑자기, 불쑥; 퉁명스럽게"
표제어,Day 35,occur,"일어나다, 생기다; (생각 등이) 떠오르다; 존재하다, 발견되다"
파생어,Day 35,occurrence,"발생; 사건, 일어난 일"
표제어,Day 35,condemn,비난하다; 선고를 내리다; (좋지 않은 상황에) 처하게 하다
파생어,Day 35,condemnation,비난
파생어,Day 35,condemnatory,비난의
표제어,Day 35,present,"참석한; 현재의; 선물; ((the ~)) 현재; 주다, 제출하다; 나타내다; 생기다"
파생어,Day 35,presence,"참석, 출석, 있음"
표제어,Day 35,accommodate,"수용하다, 공간을 제공하다; (의견 등을) 수용하다; (환경 등에) 적응하다"
파생어,Day 35,accommodation,숙박 시설; 합의
표제어,Day 35,scale,규모; (측정용) 등급; 저울; (지도의) 축척; (물고기 등의) 비늘
표제어,Day 35,temperate,(기후·지역이) 온화한; (행동이) 절제된
표제어,Day 36,faculty,"교수진, 교직원; (대학의) 학부; 재능, 능력"
표제어,Day 36,refer,"언급하다; 참고하다, 참조하다; 나타내다"
파생어,Day 36,reference,"언급; 참고, 참조; 추천서; 참고 문헌"
표제어,Day 36,tough,"곤란한, 힘든; 튼튼한, 강인한; 질긴, 단단한"
표제어,Day 36,certain,"확신하는; 확실한, 틀림없는; 특정한; 어느 정도의"
파생어,Day 36,certainly,"틀림없이, 분명히"
파생어,Day 36,certainty,확실성; 확신
표제어,Day 36,condition,상태; ((~s)) (생활·작업 등의) 환경; 조건; 길들이다
파생어,Day 36,conditional,조건부의
표제어,Day 36,craft,"(수)공예; 기술; 배, 비행기, 우주선; 공들여 만들다"
파생어,Day 36,craftsman,"장인, 숙련공"
파생어,Day 36,craftsmanship,손재주; 솜씨
표제어,Day 36,asset,"자산, 재산; 자산(이 되는 사람·물건)"
표제어,Day 36,burst,"터지다; 불쑥 가다[오다]; 가득 차다, 터질 듯하다; 파열, 폭발"
표제어,Day 36,beat,"이기다; 치다, 때리다; 능가하다; (심장이) 고동치다; (연달아) 때림; 박자"
표제어,Day 36,edge,"가장자리, 끝; (칼 등의) 날; 조금씩 움직이다"
표제어,Day 36,deal,"다루다, 처리하다; 거래하다; (카드를) 나누다; 거래; 대우, 취급"
파생어,Day 36,dealer,상인
파생어,Day 36,a great deal of,다량의
표제어,Day 36,direct,지도하다; (길을) 안내하다; 감독하다; 직접적인; 직행의
파생어,Day 36,direction,"방향; 지시, 명령"
파생어,Day 36,directly,직접적으로
표제어,Day 36,bow,"(허리를 굽혀) 절하다; (고개를) 숙이다; 휘다, 굽다; 절, 인사; 활"
표제어,Day 36,bitter,맛이 쓴; 억울해하는; 신랄한; (바람·추위 따위가) 지독한
파생어,Day 36,bitterly,몹시; 비통하게
표제어,Day 36,bar,"막다, 금하다; 잠그다; 술집; 막대기 (모양의 것)"
파생어,Day 36,bar in[out],~을 가두다[내쫓다]
표제어,Day 36,bound,~할 가능성이 큰; (법·의무 등에) 얽매인; ~행의; 껑충껑충 뛰어가다; 경계를 이루다; 뛰어오르기
표제어,Day 36,adhere,"들러붙다; (주의·신념·의견에) 충실하다, 고수하다"
파생어,Day 36,adhesion,"부착, 접착(력)"
파생어,Day 36,adhesive,접착제; 들러붙는
파생어,Day 36,adherent,지지자
파생어,Day 36,adherence,고수
표제어,Day 36,branch,"나뭇가지; 지사, 분점, 부서; 분야; 갈라지다, 나뉘다"
표제어,Day 37,fountain,"분수; 샘; 근원, 원천"
파생어,Day 37,fountain pen,만년필
표제어,Day 37,bill,"계산서, 청구서; 지폐; 법안; (새의) 부리"
표제어,Day 37,owe,빚지고 있다; 덕택으로 생각하다; ~에게 (어떤 감정을) 품고 있다
표제어,Day 37,decent,"(수준·질이) 괜찮은, 제대로 된; 예의 바른; (상황에) 적절한"
파생어,Day 37,decency,"품위, 체면"
표제어,Day 37,term,"기간, 임기; 용어; 학기; ((~s)) 조건"
파생어,Day 37,in terms of,~의 측면에서
표제어,Day 37,discipline,"규율, 훈육; 절제력; 단련, 수련; 징계하다; 훈육하다"
파생어,Day 37,disciplined,"훈련된, 통제가 잘 된"
표제어,Day 37,launch,"시작하다, 착수하다; 출시하다; 발사하다; 출시; 발사"
표제어,Day 37,inflate,부풀리다[부풀다]; 과장하다; (물가·가격을) 올리다[오르다]
파생어,Day 37,inflated,"부풀린, 과장된; (물가가) 폭등한"
파생어,Day 37,inflation,인플레이션; 팽창
표제어,Day 37,race,경주; 인종; 경주하다
파생어,Day 37,racial,인종(상)의
파생어,Day 37,racist,"민족주의자, 인종 차별주의자"
파생어,Day 37,racism,"인종적 우월감, 민족주의"
표제어,Day 37,flat,평평한; 균일의; 바람이 빠진; 아파트; (타이어의) 펑크
파생어,Day 37,flatten,평평하게 하다; 쓰러뜨리다
표제어,Day 37,demonstrate,입증하다; (사용법 등을) 설명하다; 시위하다
파생어,Day 37,demonstration,시위; 실물 설명; 증명
표제어,Day 37,flush,(얼굴이) 붉어지다; 물로 씻어내리다; 홍조; 물로 씻어냄
파생어,Day 37,flushed,"(얼굴이) 빨간, 상기된"
표제어,Day 37,custom,"관습; 습관; ((~s)) 관세, 세관"
파생어,Day 37,customary,관례적인; 습관적인
파생어,Day 37,customable,관세가 붙는
표제어,Day 37,firm,"단단한, 딱딱한; 흔들리지 않는, 확고한; 회사"
파생어,Day 37,firmly,단단히; 확고하게
파생어,Day 37,firmness,견고; 확고함
표제어,Day 37,folk,"사람들; ((~s)) 가족, 친척; 민속의; 민간의"
표제어,Day 37,balance,균형; 잔액; 저울; 균형을 잡다
표제어,Day 37,radical,근본적인; 급진적인; 급진주의자
파생어,Day 37,radically,"근본적으로, 철저하게"
파생어,Day 37,radicalism,급진주의
표제어,Day 37,margin,"여백; (득표 수 등의) 차이; 마진, 수익"
파생어,Day 37,marginal,미미한; 주변부의
표제어,Day 38,recall,"기억해 내다; 소환하다, 도로 부르다; (물건을) 회수하다; 기억(력); 회수; 소환"
표제어,Day 38,remark,"말하다, 논평하다; 알아채다; 말, 의견"
파생어,Day 38,remarkable,"주목할 만한, 놀라운"
표제어,Day 38,row,"줄, 열; 노 젓기; 노[배]를 젓다"
표제어,Day 38,score,"득점; 점수, 성적; ~라는 점; 득점하다; 채점하다"
표제어,Day 38,stroke,쓰다듬다; (공 등을) 치다; 타격; 뇌졸중
표제어,Day 38,subtle,"미묘한, 감지하기 힘든; 교묘한; 예민한"
파생어,Day 38,subtlety,미묘함
파생어,Day 38,subtly,미묘하게
표제어,Day 38,tissue,(생물) 조직; 화장지; 얇은 종이
표제어,Day 38,seed,"씨; 근원, 원인; 씨를 뿌리다"
표제어,Day 38,shallow,얕은; 피상적인; (호흡이) 약한
파생어,Day 38,shallowly,얕게
표제어,Day 38,shed,"없애다; 떨어뜨리다, 흘리다; (빛을) 비추다; 헛간"
파생어,Day 38,shed light on,"~을 비추다; 밝히다, 해명하다"
표제어,Day 38,stick,찌르다; 붙이다; 꼼짝하지 않다; 막대기
파생어,Day 38,sticky,끈적거리는; 무더운
표제어,Day 38,trial,"재판; 시험, 실험; 시련; 시험하다"
표제어,Day 38,treat,"대우하다, 취급하다; 간주하다; 치료하다; 대접하다"
파생어,Day 38,treatment,"취급, 대우; 치료"
표제어,Day 38,slight,"약간의, 경미한; 가냘픈; 무시하다"
파생어,Day 38,slightly,약간
표제어,Day 38,spare,"(시간·돈을) 할애하다, 내다; (고생 등을) 면하게 하다; 여분의"
표제어,Day 38,square,정사각형; 광장; 제곱; 정사각형의
표제어,Day 38,perform,"수행하다; 공연하다, 연주하다; 작동하다"
파생어,Day 38,performer,행위자; 연기자
파생어,Day 38,performance,공연; 성과
표제어,Day 38,starve,"굶주리다, 굶어 죽다; 굶기다; 갈망하다"
파생어,Day 38,starvation,기아
표제어,Day 39,adore,"동경[흠모]하다, 아주 좋아하다; 숭배하다"
파생어,Day 39,adorable,"귀여운, 사랑스러운"
표제어,Day 39,envious,"부러워하는, 샘내는"
파생어,Day 39,envy,"부러워하다; 질투, 선망"
표제어,Day 39,fascinated,"매료된, 매혹된"
파생어,Day 39,fascinate,매혹하다
파생어,Day 39,fascinating,매혹적인
표제어,Day 39,fond,좋아하여; 다정한
파생어,Day 39,fondly,"다정하게, 귀여워하여"
파생어,Day 39,be fond of,~을 좋아하다
표제어,Day 39,manifest,"(감정 등을) 밖으로 나타내다; 명백한, 분명한"
파생어,Day 39,manifestation,"징후, 표명"
표제어,Day 39,astonished,깜짝 놀란
파생어,Day 39,astonish,놀라게 하다
파생어,Day 39,astonishing,"놀라운, 놀랄 만한"
표제어,Day 39,indifferent,"무관심한, 사심이 없는"
파생어,Day 39,indifference,"무관심, 냉담"
표제어,Day 39,embarrassed,"난처한, 거북한"
파생어,Day 39,embarrass,난처하게 하다
파생어,Day 39,embarrassing,"난처하게 하는, 당혹스럽게 하는"
표제어,Day 39,hesitate,"주저하다, 망설이다"
파생어,Day 39,hesitant,망설이는
표제어,Day 39,panic,당황하여 허둥대다; 당황한; 공황
파생어,Day 39,panicky,공황의; 당황한
파생어,Day 39,in a panic,"허둥지둥, 공황을 일으켜"
표제어,Day 39,startled,놀란
파생어,Day 39,startling,놀랄 만한
파생어,Day 39,startle,깜짝 놀라게 하다
표제어,Day 39,affection,"애정, 애착"
파생어,Day 39,affectionate,"애정 어린, 다정한"
표제어,Day 39,provoke,유발하다; 화나게 하다
파생어,Day 39,provocation,"도발, 자극"
표제어,Day 39,disgusting,"역겨운, 혐오스러운"
파생어,Day 39,disgust,"역겹게 하다; 혐오감, 역겨움"
표제어,Day 39,annoyed,"짜증이 난, 화가 난"
파생어,Day 39,annoy,"짜증 나게 하다, 귀찮게 굴다"
파생어,Day 39,annoying,"성가신, 난처한"
표제어,Day 39,frustrated,"좌절감을 느끼는, 불만스러워 하는"
파생어,Day 39,frustrate,"좌절시키다, 실망시키다"
파생어,Day 39,frustration,좌절(감)
표제어,Day 39,furious,격노한; 맹렬한
파생어,Day 39,fury,"격노, 분노"
표제어,Day 39,hatred,"미움, 증오, 혐오"
표제어,Day 39,humiliating,"치욕적인, 굴욕적인"
파생어,Day 39,humiliate,"창피를 주다, 자존심을 상하게 하다"
표제어,Day 39,irritated,"짜증이 난, 화난"
파생어,Day 39,irritate,짜증나게 하다
파생어,Day 39,irritation,화; 짜증나게 하는 것
표제어,Day 39,keen,열심인; 몹시 하고 싶어 하는; 예민한
표제어,Day 39,mournful,"구슬픈, 슬픔에 잠긴"
파생어,Day 39,mourn,"애도하다, 슬퍼하다"
표제어,Day 39,ashamed,"창피한, 부끄러운"
표제어,Day 39,disappointed,"실망한, 낙담한"
파생어,Day 39,disappoint,실망시키다
파생어,Day 39,disappointment,"실망, 낙심"
표제어,Day 39,sorrowful,"슬픈, 비탄에 잠긴"
파생어,Day 39,sorrow,"슬픔, 비애; 슬픈 일"
표제어,Day 39,gloomy,"우울한, 울적한"
표제어,Day 39,grief,"큰 슬픔, 비탄"
파생어,Day 39,grieve,몹시 슬퍼하다[슬프게 하다]
파생어,Day 39,grievous,"슬픈, 비통한"
표제어,Day 39,delighted,"기쁜, 즐거워하는"
파생어,Day 39,delight,기쁨; 기쁘게 하다
표제어,Day 39,gratifying,"만족스러운, 유쾌한"
파생어,Day 39,gratify,"만족시키다, 기쁘게 하다"
표제어,Day 39,miserable,"비참한, 불행한"
표제어,Day 40,risky,"모험적인, 대담한, 위험한"
파생어,Day 40,risk,위험; 위험에 내맡기다
표제어,Day 40,urgent,"긴박한, 긴급한"
표제어,Day 40,chaotic,"혼돈된, 무질서한, 혼란한"
표제어,Day 40,hazardous,"위험한, 모험적인"
파생어,Day 40,hazard,"위험, 위험 요소"
표제어,Day 40,frightening,겁을 주는
파생어,Day 40,frighten,두려워하게 하다
파생어,Day 40,frightened,겁먹은
표제어,Day 40,formidable,무서운; 만만치 않은
표제어,Day 40,stunning,깜짝 놀라게 하는; 놀랄 만큼 아름다운[멋진]
파생어,Day 40,stun,기절시키다; 깜짝 놀라게 하다
표제어,Day 40,dreadful,"지독한, 몹시 싫은"
파생어,Day 40,dread,"근심, 불안; 두려워하다, 걱정하다"
표제어,Day 40,horror,"공포, 무서움"
파생어,Day 40,horrify,"무서워하게 하다, 소름 끼치게 하다"
파생어,Day 40,horrific,"무서운, 소름 끼치는"
표제어,Day 40,vigorous,"활발한, 격렬한; 활기찬, 건강한"
파생어,Day 40,vigor,"활기, 힘"
표제어,Day 40,yearn,"동경하다, 그리워하다; 열망하다"
파생어,Day 40,yearning,"동경, 열망"
표제어,Day 40,exotic,외래의; 이국풍의
표제어,Day 40,tragic,비극적인; 매우 슬픈
파생어,Day 40,tragedy,비극; 참사
표제어,Day 40,cruel,"잔인한, 잔혹한; 비참한"
파생어,Day 40,cruelty,"잔인함, 학대"
표제어,Day 40,melancholic,"우울한, 침울한"
파생어,Day 40,melancholy,우울감; 구슬픈
표제어,Day 40,weird,"이상한, 괴상한"
파생어,Day 40,weirdly,이상하게
파생어,Day 40,weirdness,기묘함
표제어,Day 40,desperate,자포자기의; 필사적인; 절망적인
파생어,Day 40,desperately,"필사적으로, 자포자기하여"
표제어,Day 40,dreary,"쓸쓸한, 음울한, 황량한"
표제어,Day 40,dynamic,"동적인; 정력적인, 활발한; ((~s)) 역학; 원동력"
파생어,Day 40,dynamically,활동적으로; 역학적으로
표제어,Day 40,serene,"잔잔한, 평온한"
파생어,Day 40,serenity,"조용함, 평온"
표제어,Day 40,solemn,"진지한, 엄숙한"
파생어,Day 40,solemnity,"엄숙, 장엄"
표제어,Day 40,stern,"엄중한, 강경한"
표제어,Day 40,cynical,냉소적인; 비관적인
표제어,Day 40,satirical,"풍자적인, 비꼬는"
파생어,Day 40,satire,"풍자, 비꼼; 풍자문"
표제어,Day 40,ironic(al),"반어적인, 빗대는"
